iter	Passed	Remaining
873	34423	83734
874	34458	83683
875	34494	83637
876	34529	83587
877	34564	83538
878	34610	83513
879	34642	83458
880	34677	83406
881	34709	83350
882	34752	83319
883	34788	83272
884	34819	83213
885	34852	83157
886	34886	83106
887	34929	83074
888	34965	83027
889	35002	82984
890	35038	82935
891	35076	82893
892	35116	82855
893	35151	82807
894	35185	82754
895	35218	82699
896	35260	82666
897	35294	82616
898	35331	82571
899	35365	82519
900	35407	82487
901	35442	82437
902	35478	82390
903	35514	82342
904	35550	82297
905	35591	82261
906	35626	82211
907	35668	82178
908	35703	82129
909	35749	82105
910	35784	82056
911	35818	82006
912	35854	81957
913	35889	81909
914	35934	81883
915	35970	81836
916	36005	81786
917	36039	81737
918	36082	81705
919	36116	81655
920	36152	81608
921	36188	81561
922	36225	81518
923	36271	81493
924	36307	81446
925	36342	81397
926	36378	81351
927	36414	81305
928	36454	81267
929	36492	81226
930	36527	81175
931	36562	81128
932	36608	81104
933	36643	81055
934	36685	81023
935	36719	80971
936	36764	80944
937	36805	80909
938	36839	80857
939	36872	80806
940	36913	80770
941	36952	80730
942	36988	80684
943	37023	80636
944	37056	80582
945	37097	80547
946	37130	80494
947	37164	80443
948	37199	80395
949	37233	80346
950	37278	80318
951	37312	80268
952	37348	80223
953	37382	80172
954	37423	80137
955	37460	80092
956	37494	80043
957	37529	79994
958	37562	79943
959	37606	79914
960	37642	79868
961	37678	79822
962	37712	79772
963	37756	79742
964	37796	79704
965	37830	79655
966	37869	79616
967	37902	79564
968	37941	79523
969	37976	79477
970	38009	79424
971	38043	79374
972	38077	79325
973	38121	79296
974	38157	79249
975	38193	79203
976	38228	79156
977	38270	79123
978	38304	79073
979	38339	79025
980	38373	78977
981	38407	78927
982	38452	78900
983	38487	78852
984	38522	78805
985	38556	78755
986	38600	78725
987	38638	78684
988	38673	78636
989	38708	78589
990	38742	78541
991	38787	78512
992	38822	78466
993	38855	78414
994	38891	78368
995	38935	78339
996	38967	78287
997	39002	78239
998	39039	78196
999	39082	78165
1000	39119	78120
1001	39155	78076
1002	39188	78025
1003	39225	77981
1004	39268	77951
1005	39303	77903
1006	39339	77858
1007	39381	77825
1008	39421	77787
1009	39458	77745
1010	39493	77697
1011	39529	77652
1012	39573	77622
1013	39608	77576
1014	39642	77528
1015	39677	77480
1016	39711	77432
1017	39753	77397
1018	39787	77348
1019	39821	77300
1020	39856	77254
1021	39899	77222
1022	39935	77176
1023	39974	77137
1024	40009	77091
1025	40046	77049
1026	40090	77018
1027	40122	76966
1028	40155	76916
1029	40189	76866
1030	40229	76829
1031	40264	76783
1032	40298	76735
1033	40332	76687
1034	40373	76651
1035	40426	76639
1036	40459	76588
1037	40494	76540
1038	40529	76494
1039	40568	76455
1040	40614	76430
1041	40649	76383
1042	40685	76339
1043	40722	76296
1044	40767	76267
1045	40805	76226
1046	40840	76180
1047	40876	76136
1048	40911	76089
1049	40954	76059
1050	40990	76013
1051	41027	75971
1052	41065	75931
1053	41113	75908
1054	41152	75869
1055	41185	75819
1056	41222	75776
1057	41270	75754
1058	41308	75712
1059	41346	75672
1060	41385	75633
1061	41434	75611
1062	41470	75568
1063	41507	75524
1064	41545	75484
1065	41589	75455
1066	41627	75412
1067	41664	75371
1068	41702	75329
1069	41747	75301
1070	41786	75261
1071	41824	75220
1072	41860	75177
1073	41910	75158
1074	41951	75123
1075	41994	75090
1076	42035	75055
1077	42081	75028
1078	42122	74992
1079	42162	74955
1080	42203	74920
1081	42251	74896
1082	42290	74857
1083	42333	74825
1084	42370	74782
1085	42415	74754
1086	42454	74715
1087	42492	74673
1088	42534	74641
1089	42591	74632
1090	42636	74604
1091	42677	74569
1092	42717	74530
1093	42765	74506
1094	42801	74463
1095	42838	74419
1096	42877	74380
1097	42917	74342
1098	42963	74316
1099	42998	74270
1100	43033	74223
1101	43068	74178
1102	43111	74145
1103	43146	74100
1104	43183	74056
1105	43218	74010
1106	43265	73984
1107	43306	73949
1108	43343	73906
1109	43379	73862
1110	43414	73815
1111	43458	73786
1112	43495	73743
1113	43529	73695
1114	43567	73654
1115	43609	73620
1116	43643	73572
1117	43677	73525
1118	43711	73478
1119	43745	73429
1120	43789	73399
1121	43825	73355
1122	43861	73310
1123	43898	73267
1124	43941	73235
1125	43977	73191
1126	44012	73146
1127	44048	73102
1128	44083	73056
1129	44129	73029
1130	44163	72981
1131	44202	72941
1132	44237	72896
1133	44286	72873
1134	44411	72975
1135	44446	72929
